show processes cpu location 1/rp0/CPU0
Sat Dec 26 05:13:34.135 UTC
---- node1_RP0_CPU0 ----

CPU utilization for one minute: 1%; five minutes: 0%; fifteen minutes: 0%
 
PID    1Min    5Min    15Min Process
1        0%      0%       0% init
2        0%      0%       0% kthreadd
3        0%      0%       0% ksoftirqd/0
5        0%      0%       0% kworker/0:0H
7        0%      0%       0% rcu_sched
8        0%      0%       0% rcu_bh
9        0%      0%       0% migration/0
10       0%      0%       0% watchdog/0
11       0%      0%       0% watchdog/1
12       0%      0%       0% migration/1
13       0%      0%       0% ksoftirqd/1
14       0%      0%       0% kworker/1:0
15       0%      0%       0% kworker/1:0H
16       0%      0%       0% watchdog/2
17       0%      0%       0% migration/2
18       0%      0%       0% ksoftirqd/2
19       0%      0%       0% kworker/2:0
20       0%      0%       0% kworker/2:0H
21       0%      0%       0% watchdog/3
22       0%      0%       0% migration/3
23       0%      0%       0% ksoftirqd/3
24       0%      0%       0% kworker/3:0
25       0%      0%       0% kworker/3:0H
26       0%      0%       0% watchdog/4
27       0%      0%       0% migration/4
28       0%      0%       0% ksoftirqd/4
29       0%      0%       0% kworker/4:0
30       0%      0%       0% kworker/4:0H
31       0%      0%       0% watchdog/5
32       0%      0%       0% migration/5
33       0%      0%       0% ksoftirqd/5
34       0%      0%       0% kworker/5:0
35       0%      0%       0% kworker/5:0H
36       0%      0%       0% khelper
37       0%      0%       0% kdevtmpfs
38       0%      0%       0% netns
233      0%      0%       0% writeback
236      0%      0%       0% ksmd
237      0%      0%       0% khugepaged
238      0%      0%       0% kintegrityd
239      0%      0%       0% bioset
240      0%      0%       0% crypto
242      0%      0%       0% kblockd
549      0%      0%       0% perl
639      0%      0%       0% ata_sff
651      0%      0%       0% khubd
660      0%      0%       0% md
754      0%      0%       0% kworker/0:1
755      0%      0%       0% kworker/2:1
774      0%      0%       0% kworker/1:1
787      0%      0%       0% khungtaskd
794      0%      0%       0% kswapd0
796      0%      0%       0% fsnotify_mark
1170     0%      0%       0% kworker/1:1H
1338     0%      0%       0% uio
1347     0%      0%       0% kworker/0:2
1354     0%      0%       0% kpsmoused
1395     0%      0%       0% ipv6_addrconf
1396     0%      0%       0% kworker/3:1
1408     0%      0%       0% deferwq
1409     0%      0%       0% kworker/4:1
1458     0%      0%       0% scsi_eh_0
1459     0%      0%       0% scsi_tmf_0
1462     0%      0%       0% scsi_eh_1
1463     0%      0%       0% scsi_tmf_1
1466     0%      0%       0% scsi_eh_2
1467     0%      0%       0% scsi_tmf_2
1470     0%      0%       0% scsi_eh_3
1471     0%      0%       0% scsi_tmf_3
1474     0%      0%       0% scsi_eh_4
1475     0%      0%       0% scsi_tmf_4
1478     0%      0%       0% scsi_eh_5
1479     0%      0%       0% scsi_tmf_5
1539     0%      0%       0% kworker/5:1
1559     0%      0%       0% kworker/0:1H
1562     0%      0%       0% jbd2/vda1-8
1563     0%      0%       0% ext4-rsv-conver
2002     0%      0%       0% khvcd
2061     0%      0%       0% cisco_nb
2360     0%      0%       0% jbd2/vdc-8
2361     0%      0%       0% ext4-rsv-conver
2407     0%      0%       0% jbd2/vdb1-8
2408     0%      0%       0% ext4-rsv-conver
2470     0%      0%       0% jbd2/vdb2-8
2471     0%      0%       0% ext4-rsv-conver
2495     0%      0%       0% jbd2/vdb3-8
2496     0%      0%       0% ext4-rsv-conver
2520     0%      0%       0% kjournald
2537     0%      0%       0% bash
2558     0%      0%       0% bash
2593     0%      0%       0% udevd
3072     0%      0%       0% dbus-daemon
3090     0%      0%       0% sshd
